| Num Cores | Total elements | Total Time |
1 | 100000 | 0.020347 |
2 | 100000 | 0.012086 |
3 | 100000 | 0.010056 |
4 | 100000 | 0.008093 |
8 | 100000 | 0.006223 |
9 | 100000 | 0.006772 |
16 | 100000 | 0.005381 |
17 | 100000 | 0.006186 |
32 | 100000 | 0.091379 |
35 | 100000 | 0.131761 |
64 | 100000 | 0.457784 |
67 | 100000 | 0.344228 |
128 | 100000 | 0.820825 |
--------------------------------------------
1 | 200000 | 0.043116 |
2 | 200000 | 0.025842 |
3 | 200000 | 0.019688 |
4 | 200000 | 0.017838 |
8 | 200000 | 0.012078 |
9 | 200000 | 0.013103 |
16 | 200000 | 0.010027 |
17 | 200000 | 0.011443 |
32 | 200000 | 0.098630 |
35 | 200000 | 0.135903 |
64 | 200000 | 0.453899 |
67 | 200000 | 0.364477 |
128 | 200000 | 1.031798 |
--------------------------------------------
1 | 1000000 | 0.240895 |
2 | 1000000 | 0.136647 |
3 | 1000000 | 0.103380 |
4 | 1000000 | 0.083051 |
8 | 1000000 | 0.061808 |
9 | 1000000 | 0.065801 |
16 | 1000000 | 0.049631 |
17 | 1000000 | 0.056324 |
32 | 1000000 | 0.122947 |
35 | 1000000 | 0.177291 |
64 | 1000000 | 0.476536 |
67 | 1000000 | 0.387322 |
128 | 1000000 | 1.038174 |
--------------------------------------------
1 | 2000000 | 0.509294 |
2 | 2000000 | 0.284894 |
3 | 2000000 | 0.213771 |
4 | 2000000 | 0.171938 |
8 | 2000000 | 0.126137 |
9 | 2000000 | 0.132635 |
16 | 2000000 | 0.099011 |
17 | 2000000 | 0.111793 |
32 | 2000000 | 0.191135 |
35 | 2000000 | 0.236231 |
64 | 2000000 | 0.560924 |
67 | 2000000 | 0.428029 |
128 | 2000000 | 1.078623 |
--------------------------------------------
1 | 4000000 | 1.069869 |
2 | 4000000 | 0.593287 |
3 | 4000000 | 0.445401 |
4 | 4000000 | 0.357370 |
8 | 4000000 | 0.258702 |
9 | 4000000 | 0.272663 |
16 | 4000000 | 0.201093 |
17 | 4000000 | 0.229294 |
32 | 4000000 | 0.290158 |
35 | 4000000 | 0.342297 |
64 | 4000000 | 0.829225 |
67 | 4000000 | 0.684532 |
128 | 4000000 | 1.158825 |
--------------------------------------------
1 | 8000000 | 2.203337 |
2 | 8000000 | 1.250382 |
3 | 8000000 | 0.936658 |
4 | 8000000 | 0.732373 |
8 | 8000000 | 0.527755 |
9 | 8000000 | 0.556146 |
16 | 8000000 | 0.408891 |
17 | 8000000 | 0.466839 |
32 | 8000000 | 0.466115 |
35 | 8000000 | 0.540715 |
64 | 8000000 | 1.008523 |
67 | 8000000 | 0.922356 |
128 | 8000000 | 1.323034 |
--------------------------------------------
1 | 10000000 | 2.799605 |
2 | 10000000 | 1.576046 |
3 | 10000000 | 1.172773 |
4 | 10000000 | 0.939598 |
8 | 10000000 | 0.670875 |
9 | 10000000 | 0.700928 |
16 | 10000000 | 0.523229 |
17 | 10000000 | 0.584456 |
32 | 10000000 | 0.546458 |
35 | 10000000 | 0.640030 |
64 | 10000000 | 1.055601 |
67 | 10000000 | 1.020756 |
128 | 10000000 | 1.416116 |
--------------------------------------------
1 | 100000000 | 32.438770 |
2 | 100000000 | 18.070385 |
3 | 100000000 | 13.397661 |
4 | 100000000 | 10.824934 |
8 | 100000000 | 7.704912 |
9 | 100000000 | 8.029595 |
16 | 100000000 | 5.863818 |
17 | 100000000 | 6.529597 |
32 | 100000000 | 4.986954 |
35 | 100000000 | 5.718006 |
64 | 100000000 | 4.963793 |
67 | 100000000 | 5.683454 |
128 | 100000000 | 4.985575 |
--------------------------------------------
1 | 200000000 | 67.690753 |
2 | 200000000 | 37.473496 |
3 | 200000000 | 27.713741 |
4 | 200000000 | 22.155732 |
8 | 200000000 | 15.481177 |
9 | 200000000 | 16.066234 |
16 | 200000000 | 11.489801 |
17 | 200000000 | 13.012087 |
32 | 200000000 | 9.753759 |
35 | 200000000 | 11.074134 |
64 | 200000000 | 9.086367 |
67 | 200000000 | 10.524493 |
128 | 200000000 | 8.857850 |
--------------------------------------------
1 | 1000000000 | 369.811416 |
2 | 1000000000 | 205.059555 |
3 | 1000000000 | 149.043662 |
4 | 1000000000 | 119.080791 |
8 | 1000000000 | 82.427818 |
9 | 1000000000 | 83.729335 |
16 | 1000000000 | 60.678343 |
17 | 1000000000 | 68.230467 |
32 | 1000000000 | 50.264742 |
35 | 1000000000 | 56.512016 |
64 | 1000000000 | 44.034995 |
67 | 1000000000 | 52.560458 |
128 | 1000000000 | 41.055678 |
